iter	Logloss
0	0.6883156159
1	0.6760784665
2	0.6654000736
3	0.6570140712
4	0.6491216386
5	0.6428734319
6	0.6330989762
7	0.6239903709
8	0.6164762987
9	0.6106920001
10	0.604434504
11	0.5983100616
12	0.5948272011
13	0.5863346272
14	0.5810839972
15	0.5744660887
16	0.5709405269
17	0.5624098572
18	0.5568290678
19	0.5520751683
20	0.5494631842
21	0.5486666803
22	0.5396614238
23	0.5376055275
24	0.5334422079
25	0.528686378
26	0.5253474763
27	0.5192634103
28	0.514503886
29	0.511485819
30	0.5085691436
31	0.5061090802
32	0.5039408796
33	0.5011263505
34	0.5009502786
35	0.4978877587
36	0.4955901589
37	0.4915059954
38	0.4874461688
39	0.4837690408
40	0.4751107021
41	0.4732805037
42	0.4723335977
43	0.4712507207
44	0.4698330585
45	0.4676466425
46	0.4640664846
47	0.4616107407
48	0.4597599734
49	0.4566756818
50	0.4530838958
51	0.4512780241
52	0.4467522701
53	0.444571514
54	0.4381294797
55	0.4357363491
56	0.4317791887
57	0.4303742076
58	0.4275694776
59	0.42390472
60	0.421767827
61	0.4199642956
62	0.4172211305
63	0.4119990748
64	0.4071783728
65	0.4045595181
66	0.3999971264
67	0.3977703113
68	0.3955133729
69	0.3942748044
70	0.3912314329
71	0.3889503
72	0.384340152
73	0.3834091049
74	0.3821227178
75	0.3779052126
76	0.3766200551
77	0.3748017464
78	0.3734596064
79	0.3700714883
80	0.3645703027
81	0.3633918562
82	0.3611866538
83	0.3545451445
84	0.3492820053
85	0.3483231059
86	0.3441732734
87	0.3389999301
88	0.3373576348
89	0.3328728852
90	0.3290778947
91	0.3275399488
92	0.3261125856
93	0.3241458716
94	0.3218854024
95	0.3193677181
96	0.3145517965
97	0.3107302403
98	0.3104585216
99	0.3098829073
0181
