iter	Passed	Remaining
0	34	3425
1	57	2803
2	84	2738
3	129	3101
4	166	3164
5	197	3094
6	236	3142
7	270	3109
8	306	3094
9	342	3080
10	376	3049
11	410	3007
12	447	2994
13	479	2948
14	512	2904
15	541	2844
16	577	2817
17	614	2799
18	647	2759
19	686	2744
20	719	2706
21	753	2672
22	789	2644
23	824	2612
24	860	2580
25	894	2545
26	931	2519
27	965	2483
28	1004	2458
29	1034	2413
30	1066	2372
31	1096	2329
32	1128	2291
33	1159	2250
34	1195	2219
35	1228	2184
36	1261	2147
37	1293	2110
38	1332	2084
39	1367	2050
40	1399	2013
41	1432	1978
42	1467	1945
43	1508	1920
44	1545	1889
45	1583	1858
46	1620	1827
47	1654	1792
48	1709	1779
49	1746	1746
50	1780	1710
51	1816	1676
52	1851	1641
53	1885	1606
54	1920	1571
55	1950	1532
56	1983	1496
57	2015	1459
58	2045	1421
59	2077	1384
60	2105	1346
61	2142	1312
62	2176	1278
63	2219	1248
64	2253	1213
65	2284	1176
66	2317	1141
67	2349	1105
68	2383	1071
69	2417	1035
70	2451	1001
71	2486	967
72	2520	932
73	2553	897
74	2587	862
75	2620	827
76	2654	792
77	2687	758
78	2719	722
79	2753	688
80	2787	653
81	2821	619
82	2856	585
83	2890	550
84	2930	517
85	2961	482
86	2992	447
87	3023	412
88	3053	377
89	3084	342
90	3114	308
91	3144	273
92	3176	239
93	3206	204
94	3236	170
95	3267	136
96	3297	101
97	3328	67
98	3359	33
99	3391	0



